Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;13.2.1;;;;;;;
2;13.2.1;9.2.2;;;;;;
3;13.2.1;9.2.2;16.2.3;;;;;
4;13.2.1;9.2.2;16.2.3;8.1.2;;;;
5;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;;;
6;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;;
7;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;
8;13.2.1;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
9;3.4.2;9.2.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
10;3.4.2;8.3.2;16.2.3;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
11;3.4.2;8.3.2;1.4.2;8.1.2;18.1.1;8.4.3;13.4.3;12.3.2
12;3.4.2;8.3.2;1.4.2;5.3.2;18.1.1;8.4.3;13.4.3;12.3.2
13;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;8.4.3;13.4.3;12.3.2
14;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;13.4.3;12.3.2
15;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;12.3.2
16;3.4.2;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
17;14.2.3;8.3.2;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
18;14.2.3;5.1.1;1.4.2;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
19;14.2.3;5.1.1;14.4.1;5.3.2;17.2.2;4.2.1;6.1.3;11.4.3
20;14.2.3;5.1.1;14.4.1;13.1.2;17.2.2;4.2.1;6.1.3;11.4.3
21;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;4.2.1;6.1.3;11.4.3
22;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;6.1.3;11.4.3
23;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;11.4.3
24;14.2.3;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
25;7.4.2;5.1.1;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
26;7.4.2;16.4.2;14.4.1;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
27;7.4.2;16.4.2;5.4.3;13.1.2;11.2.1;3.2.1;15.1.2;13.3.3
28;7.4.2;16.4.2;5.4.3;5.2.2;11.2.1;3.2.1;15.1.2;13.3.3
29;7.4.2;16.4.2;5.4.3;5.2.2;10.3.2;3.2.1;15.1.2;13.3.3
