Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
66;17.2.2;8.1.2;1.1.3;10.1.1;3.2.1;18.2.1;12.4.1;8.3.3
67;17.2.2;8.1.2;17.1.2;10.1.1;3.2.1;18.2.1;12.4.1;8.3.3
68;17.2.2;8.1.2;17.1.2;10.2.2;3.2.1;18.2.1;12.4.1;8.3.3
69;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;18.2.1;12.4.1;8.3.3
70;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;11.1.3;12.4.1;8.3.3
71;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;11.1.3;15.2.1;8.3.3
72;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;11.1.3;15.2.1;12.3.2
73;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;11.1.3;15.2.1;12.3.2
74;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;11.1.3;15.2.1;12.3.2
75;17.2.2;8.1.2;17.1.2;10.2.2;2.1.3;11.1.3;15.2.1;12.3.2
