Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
41;2.1.3;5.3.1;7.1.3;2.3.3;15.1.1;8.3.3;11.1.2;12.2.2
42;2.1.3;4.2.1;7.1.3;2.3.3;15.1.1;8.3.3;11.1.2;12.2.2
43;2.1.3;4.2.1;13.3.3;2.3.3;15.1.1;8.3.3;11.1.2;12.2.2
44;2.1.3;4.2.1;13.3.3;7.3.2;15.1.1;8.3.3;11.1.2;12.2.2
45;2.1.3;4.2.1;13.3.3;7.3.2;10.2.2;8.3.3;11.1.2;12.2.2
46;2.1.3;4.2.1;13.3.3;7.3.2;10.2.2;9.2.2;11.1.2;12.2.2
47;2.1.3;4.2.1;13.3.3;7.3.2;10.2.2;9.2.2;18.4.2;12.2.2
48;2.1.3;4.2.1;13.3.3;7.3.2;10.2.2;9.2.2;18.4.2;14.4.2
49;9.3.1;4.2.1;13.3.3;7.3.2;10.2.2;9.2.2;18.4.2;14.4.2
50;9.3.1;9.1.2;13.3.3;7.3.2;10.2.2;9.2.2;18.4.2;14.4.2
51;9.3.1;9.1.2;16.4.3;7.3.2;10.2.2;9.2.2;18.4.2;14.4.2
52;9.3.1;9.1.2;16.4.3;15.2.3;10.2.2;9.2.2;18.4.2;14.4.2
53;9.3.1;9.1.2;16.4.3;15.2.3;17.4.1;9.2.2;18.4.2;14.4.2
54;9.3.1;9.1.2;16.4.3;15.2.3;17.4.1;15.3.3;18.4.2;14.4.2
55;9.3.1;9.1.2;16.4.3;15.2.3;17.4.1;15.3.3;16.3.3;14.4.2
56;9.3.1;9.1.2;16.4.3;15.2.3;17.4.1;15.3.3;16.3.3;14.3.3
57;3.2.3;9.1.2;16.4.3;15.2.3;17.4.1;15.3.3;16.3.3;14.3.3
58;3.2.3;6.1.3;16.4.3;15.2.3;17.4.1;15.3.3;16.3.3;14.3.3
59;3.2.3;6.1.3;13.4.3;15.2.3;17.4.1;15.3.3;16.3.3;14.3.3
60;3.2.3;6.1.3;13.4.3;1.1.1;17.4.1;15.3.3;16.3.3;14.3.3
61;3.2.3;6.1.3;13.4.3;1.1.1;1.2.2;15.3.3;16.3.3;14.3.3
62;3.2.3;6.1.3;13.4.3;1.1.1;1.2.2;7.4.3;16.3.3;14.3.3
63;3.2.3;6.1.3;13.4.3;1.1.1;1.2.2;7.4.3;2.4.2;14.3.3
64;3.2.3;6.1.3;13.4.3;1.1.1;1.2.2;7.4.3;2.4.2;3.3.1
65;2.2.3;6.1.3;13.4.3;1.1.1;1.2.2;7.4.3;2.4.2;3.3.1
66;2.2.3;14.2.1;13.4.3;1.1.1;1.2.2;7.4.3;2.4.2;3.3.1
67;2.2.3;14.2.1;8.1.2;1.1.1;1.2.2;7.4.3;2.4.2;3.3.1
68;2.2.3;14.2.1;8.1.2;6.3.2;1.2.2;7.4.3;2.4.2;3.3.1
69;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;7.4.3;2.4.2;3.3.1
70;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;4.1.1;2.4.2;3.3.1
71;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;4.1.1;9.4.2;3.3.1
72;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;4.1.1;9.4.2;4.4.3
73;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;4.1.1;9.4.2;4.4.3
74;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;4.1.1;9.4.2;4.4.3
75;2.2.3;14.2.1;8.1.2;6.3.2;5.2.3;4.1.1;9.4.2;4.4.3
