Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;6.4.3;;;;;;;
2;6.4.3;5.4.2;;;;;;
3;6.4.3;5.4.2;6.2.2;;;;;
4;6.4.3;5.4.2;6.2.2;16.1.1;;;;
5;6.4.3;5.4.2;6.2.2;16.1.1;17.1.1;;;
6;6.4.3;5.4.2;6.2.2;16.1.1;17.1.1;17.2.1;;
7;6.4.3;5.4.2;6.2.2;16.1.1;17.1.1;17.2.1;18.3.1;
8;6.4.3;5.4.2;6.2.2;16.1.1;17.1.1;17.2.1;18.3.1;12.1.2
9;11.4.3;5.4.2;6.2.2;16.1.1;17.1.1;17.2.1;18.3.1;12.1.2
10;11.4.3;1.3.3;6.2.2;16.1.1;17.1.1;17.2.1;18.3.1;12.1.2
11;11.4.3;1.3.3;4.3.2;16.1.1;17.1.1;17.2.1;18.3.1;12.1.2
12;11.4.3;1.3.3;4.3.2;13.1.1;17.1.1;17.2.1;18.3.1;12.1.2
13;11.4.3;1.3.3;4.3.2;13.1.1;1.4.1;17.2.1;18.3.1;12.1.2
14;11.4.3;1.3.3;4.3.2;13.1.1;1.4.1;11.2.2;18.3.1;12.1.2
15;11.4.3;1.3.3;4.3.2;13.1.1;1.4.1;11.2.2;18.2.2;12.1.2
16;11.4.3;1.3.3;4.3.2;13.1.1;1.4.1;11.2.2;18.2.2;18.1.2
17;5.1.3;1.3.3;4.3.2;13.1.1;1.4.1;11.2.2;18.2.2;18.1.2
18;5.1.3;8.2.2;4.3.2;13.1.1;1.4.1;11.2.2;18.2.2;18.1.2
19;5.1.3;8.2.2;16.2.1;13.1.1;1.4.1;11.2.2;18.2.2;18.1.2
20;5.1.3;8.2.2;16.2.1;11.3.2;1.4.1;11.2.2;18.2.2;18.1.2
21;5.1.3;8.2.2;16.2.1;11.3.2;12.3.3;11.2.2;18.2.2;18.1.2
22;5.1.3;8.2.2;16.2.1;11.3.2;12.3.3;10.1.2;18.2.2;18.1.2
23;5.1.3;8.2.2;16.2.1;11.3.2;12.3.3;10.1.2;13.2.3;18.1.2
24;5.1.3;8.2.2;16.2.1;11.3.2;12.3.3;10.1.2;13.2.3;10.3.3
25;17.3.1;8.2.2;16.2.1;11.3.2;12.3.3;10.1.2;13.2.3;10.3.3
26;17.3.1;3.4.2;16.2.1;11.3.2;12.3.3;10.1.2;13.2.3;10.3.3
27;17.3.1;3.4.2;7.2.3;11.3.2;12.3.3;10.1.2;13.2.3;10.3.3
28;17.3.1;3.4.2;7.2.3;3.1.2;12.3.3;10.1.2;13.2.3;10.3.3
29;17.3.1;3.4.2;7.2.3;3.1.2;12.4.2;10.1.2;13.2.3;10.3.3
30;17.3.1;3.4.2;7.2.3;3.1.2;12.4.2;10.4.1;13.2.3;10.3.3
31;17.3.1;3.4.2;7.2.3;3.1.2;12.4.2;10.4.1;14.1.1;10.3.3
32;17.3.1;3.4.2;7.2.3;3.1.2;12.4.2;10.4.1;14.1.1;15.4.1
33;8.4.2;3.4.2;7.2.3;3.1.2;12.4.2;10.4.1;14.1.1;15.4.1
34;8.4.2;5.3.1;7.2.3;3.1.2;12.4.2;10.4.1;14.1.1;15.4.1
35;8.4.2;5.3.1;7.1.3;3.1.2;12.4.2;10.4.1;14.1.1;15.4.1
36;8.4.2;5.3.1;7.1.3;2.3.3;12.4.2;10.4.1;14.1.1;15.4.1
37;8.4.2;5.3.1;7.1.3;2.3.3;15.1.1;10.4.1;14.1.1;15.4.1
38;8.4.2;5.3.1;7.1.3;2.3.3;15.1.1;8.3.3;14.1.1;15.4.1
39;8.4.2;5.3.1;7.1.3;2.3.3;15.1.1;8.3.3;11.1.2;15.4.1
40;8.4.2;5.3.1;7.1.3;2.3.3;15.1.1;8.3.3;11.1.2;12.2.2
