Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
64;11.2.2;6.3.3;16.3.3;6.1.2;2.3.3;5.3.3;12.4.3;8.4.3
65;1.3.3;6.3.3;16.3.3;6.1.2;2.3.3;5.3.3;12.4.3;8.4.3
66;1.3.3;8.1.3;16.3.3;6.1.2;2.3.3;5.3.3;12.4.3;8.4.3
67;1.3.3;8.1.3;8.2.3;6.1.2;2.3.3;5.3.3;12.4.3;8.4.3
68;1.3.3;8.1.3;8.2.3;12.1.3;2.3.3;5.3.3;12.4.3;8.4.3
69;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;5.3.3;12.4.3;8.4.3
70;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;18.3.2;12.4.3;8.4.3
71;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;18.3.2;15.4.3;8.4.3
72;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;18.3.2;15.4.3;18.1.1
73;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;18.3.2;15.4.3;18.1.1
74;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;18.3.2;15.4.3;18.1.1
75;1.3.3;8.1.3;8.2.3;12.1.3;3.2.3;18.3.2;15.4.3;18.1.1
