Ronda;Jugador 1;Jugador 2;Jugador 3;Jugador 4;Jugador 5;Jugador 6;Jugador 7;Jugador 8
1;10.2.1;;;;;;;
2;10.2.1;2.2.2;;;;;;
3;10.2.1;2.2.2;4.2.2;;;;;
4;10.2.1;2.2.2;4.2.2;18.2.2;;;;
5;10.2.1;2.2.2;4.2.2;18.2.2;15.1.3;;;
6;10.2.1;2.2.2;4.2.2;18.2.2;15.1.3;3.4.3;;
7;10.2.1;2.2.2;4.2.2;18.2.2;15.1.3;3.4.3;13.2.2;
8;10.2.1;2.2.2;4.2.2;18.2.2;15.1.3;3.4.3;13.2.2;17.4.3
9;13.3.3;2.2.2;4.2.2;18.2.2;15.1.3;3.4.3;13.2.2;17.4.3
10;13.3.3;6.2.1;4.2.2;18.2.2;15.1.3;3.4.3;13.2.2;17.4.3
11;13.3.3;6.2.1;5.1.2;18.2.2;15.1.3;3.4.3;13.2.2;17.4.3
12;13.3.3;6.2.1;5.1.2;3.1.2;15.1.3;3.4.3;13.2.2;17.4.3
13;13.3.3;6.2.1;5.1.2;3.1.2;14.3.3;3.4.3;13.2.2;17.4.3
14;13.3.3;6.2.1;5.1.2;3.1.2;14.3.3;17.3.3;13.2.2;17.4.3
15;13.3.3;6.2.1;5.1.2;3.1.2;14.3.3;17.3.3;8.3.3;17.4.3
16;13.3.3;6.2.1;5.1.2;3.1.2;14.3.3;17.3.3;8.3.3;1.1.1
17;3.3.1;6.2.1;5.1.2;3.1.2;14.3.3;17.3.3;8.3.3;1.1.1
18;3.3.1;13.1.2;5.1.2;3.1.2;14.3.3;17.3.3;8.3.3;1.1.1
19;3.3.1;13.1.2;16.2.3;3.1.2;14.3.3;17.3.3;8.3.3;1.1.1
20;3.3.1;13.1.2;16.2.3;11.3.3;14.3.3;17.3.3;8.3.3;1.1.1
21;3.3.1;13.1.2;16.2.3;11.3.3;11.4.2;17.3.3;8.3.3;1.1.1
22;3.3.1;13.1.2;16.2.3;11.3.3;11.4.2;9.4.1;8.3.3;1.1.1
23;3.3.1;13.1.2;16.2.3;11.3.3;11.4.2;9.4.1;7.3.1;1.1.1
24;3.3.1;13.1.2;16.2.3;11.3.3;11.4.2;9.4.1;7.3.1;5.4.1
25;18.4.3;13.1.2;16.2.3;11.3.3;11.4.2;9.4.1;7.3.1;5.4.1
26;18.4.3;4.4.1;16.2.3;11.3.3;11.4.2;9.4.1;7.3.1;5.4.1
27;18.4.3;4.4.1;9.3.3;11.3.3;11.4.2;9.4.1;7.3.1;5.4.1
28;18.4.3;4.4.1;9.3.3;10.3.3;11.4.2;9.4.1;7.3.1;5.4.1
29;18.4.3;4.4.1;9.3.3;10.3.3;9.1.3;9.4.1;7.3.1;5.4.1
30;18.4.3;4.4.1;9.3.3;10.3.3;9.1.3;2.1.2;7.3.1;5.4.1
31;18.4.3;4.4.1;9.3.3;10.3.3;9.1.3;2.1.2;10.4.3;5.4.1
32;18.4.3;4.4.1;9.3.3;10.3.3;9.1.3;2.1.2;10.4.3;11.1.2
33;9.2.1;4.4.1;9.3.3;10.3.3;9.1.3;2.1.2;10.4.3;11.1.2
34;9.2.1;17.1.1;9.3.3;10.3.3;9.1.3;2.1.2;10.4.3;11.1.2
35;9.2.1;17.1.1;16.1.3;10.3.3;9.1.3;2.1.2;10.4.3;11.1.2
36;9.2.1;17.1.1;16.1.3;15.3.1;9.1.3;2.1.2;10.4.3;11.1.2
37;9.2.1;17.1.1;16.1.3;15.3.1;1.2.2;2.1.2;10.4.3;11.1.2
38;9.2.1;17.1.1;16.1.3;15.3.1;1.2.2;1.4.1;10.4.3;11.1.2
39;9.2.1;17.1.1;16.1.3;15.3.1;1.2.2;1.4.1;17.2.2;11.1.2
40;9.2.1;17.1.1;16.1.3;15.3.1;1.2.2;1.4.1;17.2.2;2.4.2
41;4.3.3;17.1.1;16.1.3;15.3.1;1.2.2;1.4.1;17.2.2;2.4.2
42;4.3.3;16.4.1;16.1.3;15.3.1;1.2.2;1.4.1;17.2.2;2.4.2
43;4.3.3;16.4.1;14.2.2;15.3.1;1.2.2;1.4.1;17.2.2;2.4.2
44;4.3.3;16.4.1;14.2.2;15.2.1;1.2.2;1.4.1;17.2.2;2.4.2
45;4.3.3;16.4.1;14.2.2;15.2.1;13.4.3;1.4.1;17.2.2;2.4.2
46;4.3.3;16.4.1;14.2.2;15.2.1;13.4.3;14.4.2;17.2.2;2.4.2
47;4.3.3;16.4.1;14.2.2;15.2.1;13.4.3;14.4.2;4.1.2;2.4.2
48;4.3.3;16.4.1;14.2.2;15.2.1;13.4.3;14.4.2;4.1.2;12.3.2
49;6.4.1;16.4.1;14.2.2;15.2.1;13.4.3;14.4.2;4.1.2;12.3.2
50;6.4.1;14.1.1;14.2.2;15.2.1;13.4.3;14.4.2;4.1.2;12.3.2
51;6.4.1;14.1.1;7.4.2;15.2.1;13.4.3;14.4.2;4.1.2;12.3.2
52;6.4.1;14.1.1;7.4.2;12.2.3;13.4.3;14.4.2;4.1.2;12.3.2
53;6.4.1;14.1.1;7.4.2;12.2.3;7.1.1;14.4.2;4.1.2;12.3.2
54;6.4.1;14.1.1;7.4.2;12.2.3;7.1.1;7.2.2;4.1.2;12.3.2
55;6.4.1;14.1.1;7.4.2;12.2.3;7.1.1;7.2.2;5.2.2;12.3.2
56;6.4.1;14.1.1;7.4.2;12.2.3;7.1.1;7.2.2;5.2.2;10.1.1
57;11.2.2;14.1.1;7.4.2;12.2.3;7.1.1;7.2.2;5.2.2;10.1.1
58;11.2.2;6.3.3;7.4.2;12.2.3;7.1.1;7.2.2;5.2.2;10.1.1
59;11.2.2;6.3.3;16.3.3;12.2.3;7.1.1;7.2.2;5.2.2;10.1.1
60;11.2.2;6.3.3;16.3.3;6.1.2;7.1.1;7.2.2;5.2.2;10.1.1
61;11.2.2;6.3.3;16.3.3;6.1.2;2.3.3;7.2.2;5.2.2;10.1.1
62;11.2.2;6.3.3;16.3.3;6.1.2;2.3.3;5.3.3;5.2.2;10.1.1
63;11.2.2;6.3.3;16.3.3;6.1.2;2.3.3;5.3.3;12.4.3;10.1.1
